tensor([[111.0677]], device='cuda:0')
tensor([[114.1890]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1890]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1890]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1890]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1890]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1890]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1890]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1890]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1890]], device='cuda:0')
tensor([[114.1890]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1890]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1890]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1890]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1890]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1890]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1960]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1960]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
tensor([[114.1285]], device='cuda:0')
