_id,connectionTime,doneChargingTime,kWhDelivered,WhPerMile,kWhRequested,chargingDuration,chargingPower
60ea3b8cf9af8b4f52ce4a56,15:23:00,16:59:00,4.21,250,25.0,1.6,2.6312499999999996
60eb8d0cf9af8b5193cbfa46,13:59:00,19:29:00,26.137,1428,114.24,5.5,4.7521818181818185
60eb8d0cf9af8b5193cbfa47,15:52:00,17:32:00,4.518,250,25.0,1.6666666666666667,2.7108
60e79896f9af8b4b2b5d5eb3,02:36:00,03:47:00,4.001,320,32.0,1.1833333333333333,3.3811267605633804
60e79896f9af8b4b2b5d5eb4,03:30:00,03:50:00,10.808,284,34.08,0.3333333333333333,32.424
60e79896f9af8b4b2b5d5eb5,06:31:00,07:01:00,15.136,319,9.57,0.5,30.272
60e8ea11f9af8b4d2c3b8293,14:53:00,16:17:00,4.266,250,7.0,1.4,3.047142857142857
60e8ea11f9af8b4d2c3b8294,15:13:00,15:56:00,4.304,310,15.5,0.7166666666666667,6.0055813953488375
60e8ea11f9af8b4d2c3b8295,15:48:00,17:21:00,5.833,340,20.4,1.55,3.763225806451613
60e8ea11f9af8b4d2c3b8296,16:17:00,16:58:00,19.68,274,41.1,0.6833333333333333,28.8
60e8ea11f9af8b4d2c3b8298,16:47:00,23:07:00,42.934,286,28.6,6.333333333333333,6.779052631578947
60e8ea11f9af8b4d2c3b8299,17:35:00,22:16:00,16.108,310,31.0,4.683333333333334,3.4394306049822063
60e8ea11f9af8b4d2c3b829a,18:14:00,19:07:00,4.617,310,17.05,0.8833333333333333,5.226792452830189
60e8ea11f9af8b4d2c3b829b,18:14:00,20:01:00,0.766,250,3.75,1.7833333333333334,0.4295327102803738
60e8ea11f9af8b4d2c3b829c,20:27:00,22:22:00,6.014,380,7.6,1.9166666666666667,3.137739130434783
60e8ea11f9af8b4d2c3b829d,20:42:00,22:00:00,2.458,290,5.8,1.3,1.8907692307692308
60e8ea11f9af8b4d2c3b829e,20:55:00,21:33:00,23.292,301,45.15,0.6333333333333333,36.776842105263164
60e8ea11f9af8b4d2c3b829f,21:40:00,23:43:00,13.656,274,13.7,2.05,6.661463414634147
60e8ea11f9af8b4d2c3b82a2,00:14:00,02:12:00,60.344,286,31.46,1.9666666666666666,30.683389830508478
60e8ea11f9af8b4d2c3b82a3,01:40:00,04:19:00,8.143,350,7.0,2.65,3.0728301886792457
60e8ea11f9af8b4d2c3b82a4,02:29:00,03:52:00,8.717,299,11.96,1.3833333333333333,6.301445783132531
60e8ea11f9af8b4d2c3b82a5,03:13:00,03:26:00,7.532,284,34.08,0.21666666666666667,34.76307692307692
60e8ea11f9af8b4d2c3b82a6,03:34:00,04:25:00,35.128,274,41.1,0.85,41.32705882352941
60ea3b90f9af8b4f54f05abb,07:42:00,08:07:00,11.432,319,9.57,0.4166666666666667,27.436799999999998
60ea3b90f9af8b4f54f05abc,14:36:00,15:19:00,21.288,300,48.0,0.7166666666666667,29.704186046511627
60ea3b90f9af8b4f54f05abd,14:45:00,19:13:00,15.342,310,18.91,4.466666666666667,3.434776119402985
60ea3b90f9af8b4f54f05abe,15:39:00,17:06:00,8.587,286,28.6,1.45,5.922068965517242
60ea3b90f9af8b4f54f05abf,16:48:00,19:37:00,9.831,450,13.5,2.816666666666667,3.490295857988165
60ea3b90f9af8b4f54f05ac0,17:46:00,21:39:00,13.224,310,15.5,3.8833333333333333,3.405321888412017
60ea3b90f9af8b4f54f05ac2,20:03:00,20:23:00,15.076,256,25.6,0.3333333333333333,45.228
