_id,connectionTime,doneChargingTime,kWhDelivered,chargingDuration,chargingPower
session_3,11:33:00,19:46:00,29,8.216666666666667,3.53
session_4,16:15:00,16:40:00,15,0.4166666666666667,36.0
session_5,22:03:00,23:02:00,3,0.9833333333333332,3.05
session_6,23:32:00,17:37:00,16,18.08333333333333,0.88
session_7,18:25:00,16:08:00,10,21.716666666666665,0.46
session_8,10:41:00,16:52:00,27,6.183333333333334,4.37
session_9,18:46:00,21:08:00,8,2.3666666666666667,3.38
session_10,16:04:00,20:55:00,8,4.85,1.65
session_11,23:48:00,15:13:00,15,15.416666666666666,0.97
session_12,16:24:00,17:23:00,3,0.9833333333333332,3.05
session_13,22:00:00,11:28:00,9,13.466666666666669,0.67
session_14,08:39:00,09:11:00,28,0.5333333333333333,52.5
session_15,19:59:00,00:52:00,14,4.883333333333334,2.87
session_16,15:44:00,08:06:00,2,16.366666666666667,0.12
session_17,17:10:00,16:24:00,29,23.23333333333333,1.25
session_18,18:04:00,17:39:00,14,23.58333333333333,0.59
session_19,20:06:00,13:23:00,10,17.283333333333335,0.58
session_20,18:02:00,21:31:00,3,3.4833333333333334,0.86
session_22,20:05:00,10:05:00,6,14.0,0.43
session_23,19:28:00,12:01:00,5,16.55,0.3
session_24,16:46:00,10:20:00,18,17.566666666666666,1.02
session_25,20:59:00,15:19:00,10,18.33333333333333,0.55
session_26,22:35:00,23:10:00,1,0.5833333333333334,1.71
session_28,16:30:00,17:20:00,5,0.8333333333333334,6.0
session_29,23:32:00,18:10:00,8,18.633333333333333,0.43
session_30,15:12:00,17:07:00,11,1.9166666666666667,5.74
session_31,17:13:00,21:43:00,7,4.5,1.56
session_32,18:54:00,09:47:00,16,14.883333333333333,1.08
session_33,20:34:00,22:56:00,14,2.3666666666666667,5.92
session_34,12:23:00,13:58:00,5,1.5833333333333333,3.16
session_35,13:36:00,15:32:00,11,1.933333333333333,5.69
session_36,15:29:00,18:09:00,6,2.6666666666666665,2.25
session_37,15:53:00,21:21:00,19,5.466666666666667,3.48
session_38,18:10:00,18:42:00,6,0.5333333333333333,11.25
session_39,21:43:00,14:13:00,16,16.5,0.97
session_40,12:27:00,16:16:00,5,3.816666666666667,1.31
session_41,13:30:00,16:23:00,14,2.8833333333333333,4.86
session_42,15:01:00,18:20:00,18,3.316666666666667,5.43
session_43,17:07:00,12:53:00,13,19.766666666666666,0.66
session_44,18:53:00,10:06:00,14,15.216666666666669,0.92
session_45,19:52:00,06:37:00,27,10.75,2.51
session_46,21:05:00,13:33:00,4,16.466666666666665,0.24
session_47,15:28:00,17:12:00,3,1.7333333333333334,1.73
session_48,18:39:00,08:24:00,15,13.75,1.09
session_49,19:57:00,10:15:00,5,14.3,0.35
session_50,22:41:00,07:52:00,14,9.183333333333334,1.52
session_51,23:32:00,11:08:00,22,11.6,1.9
session_52,13:44:00,17:37:00,6,3.883333333333333,1.55
session_53,11:32:00,12:18:00,2,0.7666666666666667,2.61
session_54,12:51:00,13:51:00,3,1.0,3.0
session_55,17:39:00,15:16:00,30,21.616666666666667,1.39
session_56,18:56:00,18:20:00,9,23.4,0.38
session_57,22:16:00,10:16:00,25,12.0,2.08
session_58,22:48:00,05:38:00,18,6.833333333333333,2.63
session_60,02:12:00,02:30:00,1,0.3,3.33
session_61,15:39:00,10:47:00,20,19.133333333333333,1.05
session_62,22:33:00,01:18:00,16,2.75,5.82
session_63,23:35:00,04:00:00,13,4.416666666666667,2.94
session_64,13:07:00,16:35:00,8,3.466666666666667,2.31
session_65,14:16:00,19:47:00,29,5.516666666666667,5.26
session_66,22:27:00,00:57:00,14,2.5,5.6
session_67,21:21:00,10:14:00,19,12.883333333333333,1.47
session_68,15:57:00,18:40:00,16,2.716666666666667,5.89
session_69,16:27:00,11:31:00,7,19.066666666666663,0.37
session_70,14:36:00,18:39:00,24,4.05,5.93
session_71,18:52:00,23:13:00,18,4.35,4.14
session_72,11:48:00,12:48:00,2,1.0,2.0
session_73,15:57:00,20:50:00,20,4.883333333333334,4.1
session_74,19:00:00,05:17:00,15,10.283333333333331,1.46
session_75,21:43:00,04:10:00,19,6.45,2.95
session_76,16:33:00,00:14:00,6,7.683333333333334,0.78
session_77,22:15:00,07:29:00,18,9.233333333333333,1.95
session_78,13:29:00,14:47:00,4,1.3,3.08
session_83,16:09:00,16:50:00,2,0.6833333333333333,2.93
session_84,16:47:00,21:34:00,7,4.783333333333333,1.46
session_86,16:54:00,17:36:00,2,0.7,2.86
session_87,18:01:00,10:34:00,27,16.55,1.63
session_88,19:40:00,12:58:00,10,17.3,0.58
session_89,20:20:00,00:22:00,14,4.033333333333333,3.47
session_90,09:28:00,10:57:00,2,1.4833333333333334,1.35
session_91,15:27:00,09:57:00,20,18.5,1.08
session_92,17:34:00,17:58:00,1,0.4,2.5
session_93,18:47:00,04:00:00,15,9.216666666666669,1.63
session_94,19:02:00,08:35:00,19,13.55,1.4
session_96,14:08:00,18:11:00,24,4.05,5.93
session_97,17:53:00,21:53:00,22,4.0,5.5
session_98,18:11:00,19:47:00,1,1.6,0.62
session_99,19:33:00,07:24:00,16,11.85,1.35
session_100,23:45:00,09:55:00,15,10.166666666666666,1.48
session_101,11:00:00,13:54:00,10,2.9,3.45
session_102,18:37:00,11:32:00,6,16.916666666666668,0.35
