_id,connectionTime,doneChargingTime,kWhDelivered,WhPerMile,kWhRequested,chargingDuration,chargingPower
12,00:31:08,02:08:08,28.818725287924625,1326,37.798725287924626,3.981375,18.437889766087466
15,00:25:16,02:56:16,17.53310954816756,1060,22.78310954816756,1.500762,38.28726175420573
9,00:19:46,01:31:46,18.820536997189286,1494,20.900536997189285,4.330639,7.432677949433481
27,00:21:33,01:35:33,13.485095486237965,1330,20.905095486237965,1.576045,20.09240853875265
24,00:29:03,01:34:03,5.830559631654432,1295,13.680559631654432,2.087318,39.32042343318255
10009,01:59:46,03:56:46,5.001383921625214,1244,11.051383921625213,4.52965,13.162548606605377
10029,01:42:01,02:32:01,15.153012324532776,321,23.093012324532776,3.967871,23.1992196436514
10000,01:25:03,03:38:03,21.977265390685343,666,27.417265390685344,5.125496,34.70697626476354
10004,01:22:30,04:17:30,12.794897049852564,1438,18.494897049852565,4.014155,28.15739606380292
10024,01:23:24,01:57:24,24.9800646838098,530,29.830064683809802,3.49619,25.587469537804854
10015,01:26:10,02:48:10,9.372721857737687,287,10.602721857737688,0.743314,28.474496077346267
20026,02:51:06,04:27:06,5.3901516111707055,1596,7.360151611170705,2.332752,17.723033177431276
20016,02:22:12,04:30:12,22.49055135626292,1323,23.77055135626292,1.738174,13.781095660727637
20009,02:43:46,03:13:46,16.496397093900185,1071,23.226397093900186,1.61514,2.7398797489104494
20027,02:59:05,05:18:05,5.811632391281594,330,9.641632391281593,5.843461,23.62591693456811
20000,02:19:12,03:07:12,23.13985910526447,1532,28.71985910526447,2.479967,1.44567088637621
30026,03:54:33,06:44:33,11.817077946602934,969,20.987077946602934,5.37387,6.782477043757485
30016,03:26:23,04:44:23,8.808867642193261,543,12.048867642193262,3.860604,17.28196861704446
30009,03:17:29,03:59:29,13.952686877878058,1005,18.64268687787806,4.809906,16.02425932344718
30027,03:06:06,05:18:06,12.491087356188167,585,20.291087356188168,3.115295,18.948568549264103
30000,03:08:25,03:59:25,6.141491049724461,1415,9.201491049724462,3.546043,13.09263795878904
40003,04:41:21,05:17:21,16.371496990396125,1155,18.061496990396126,3.056603,38.91121779353056
40024,04:29:01,05:22:01,29.4056415863455,476,33.0156415863455,1.332409,35.70195260137607
40039,04:38:51,05:24:51,13.026074751080422,1384,15.476074751080422,4.390222,2.168062671285225
40019,04:36:01,07:19:01,6.580190458465767,659,15.950190458465766,1.82848,24.6827255864501
40041,04:14:35,06:27:35,7.582453877128465,1537,15.852453877128465,0.341033,34.819519205102765
40008,04:05:28,05:58:28,13.207582707230271,221,19.907582707230272,3.943739,16.772572772522455
40026,04:37:41,07:32:41,15.807037029532465,452,24.647037029532463,1.227242,21.35785467156932
40025,04:47:26,06:46:26,7.051443634123649,947,15.281443634123649,5.65466,30.845552768132123
50009,05:04:31,06:38:31,8.996132171354782,1056,11.676132171354782,5.732786,2.825447833775361
50016,05:53:27,07:07:27,27.01695307617699,674,36.04695307617699,5.506213,37.85604430067527
50026,05:40:51,06:31:51,22.32882007535669,1282,28.17882007535669,2.34692,28.50075408492411
